Date;Sunrise;Sunset;Month_year;
01 Sun;07:55:34;15:59:41;sty-12;
02 Mon;07:55:30;16:00:43;sty-12;
03 Tue;07:55:23;16:01:47;sty-12;
04 Wed;07:55:12;16:02:53;sty-12;
05 Thu;07:54:58;16:04:02;sty-12;
06 Fri;07:54:42;16:05:14;sty-12;
07 Sat;07:54:21;16:06:27;sty-12;
08 Sun;07:53:58;16:07:43;sty-12;
09 Mon;07:53:32;16:09:01;sty-12;
10 Tue;07:53:03;16:10:21;sty-12;
11 Wed;07:52:30;16:11:43;sty-12;
12 Thu;07:51:55;16:13:06;sty-12;
13 Fri;07:51:16;16:14:32;sty-12;
14 Sat;07:50:35;16:15:59;sty-12;
15 Sun;07:49:50;16:17:28;sty-12;
16 Mon;07:49:03;16:18:58;sty-12;
17 Tue;07:48:13;16:20:30;sty-12;
18 Wed;07:47:20;16:22:03;sty-12;
19 Thu;07:46:25;16:23:37;sty-12;
20 Fri;07:45:26;16:25:13;sty-12;
21 Sat;07:44:26;16:26:50;sty-12;
22 Sun;07:43:22;16:28:27;sty-12;
23 Mon;07:42:16;16:30:06;sty-12;
24 Tue;07:41:08;16:31:46;sty-12;
25 Wed;07:39:57;16:33:26;sty-12;
26 Thu;07:38:44;16:35:08;sty-12;
27 Fri;07:37:28;16:36:50;sty-12;
28 Sat;07:36:10;16:38:32;sty-12;
29 Sun;07:34:50;16:40:15;sty-12;
30 Mon;07:33:28;16:41:59;sty-12;
31 Tue;07:32:04;16:43:43;sty-12;
01 Wed;07:30:38;16:45:28;lut-12;
02 Thu;07:29:09;16:47:13;lut-12;
03 Fri;07:27:39;16:48:58;lut-12;
04 Sat;07:26:07;16:50:44;lut-12;
05 Sun;07:24:33;16:52:29;lut-12;
06 Mon;07:22:57;16:54:15;lut-12;
07 Tue;07:21:19;16:56:01;lut-12;
08 Wed;07:19:40;16:57:47;lut-12;
09 Thu;07:17:59;16:59:34;lut-12;
10 Fri;07:16:17;17:01:20;lut-12;
11 Sat;07:14:32;17:03:06;lut-12;
12 Sun;07:12:47;17:04:52;lut-12;
13 Mon;07:11:00;17:06:38;lut-12;
14 Tue;07:09:11;17:08:24;lut-12;
15 Wed;07:07:22;17:10:10;lut-12;
16 Thu;07:05:31;17:11:55;lut-12;
17 Fri;07:03:38;17:13:41;lut-12;
18 Sat;07:01:45;17:15:26;lut-12;
19 Sun;06:59:50;17:17:11;lut-12;
20 Mon;06:57:54;17:18:56;lut-12;
21 Tue;06:55:57;17:20:41;lut-12;
22 Wed;06:53:59;17:22:25;lut-12;
23 Thu;06:52:00;17:24:09;lut-12;
24 Fri;06:50:00;17:25:53;lut-12;
25 Sat;06:47:59;17:27:37;lut-12;
26 Sun;06:45:57;17:29:20;lut-12;
27 Mon;06:43:54;17:31:03;lut-12;
28 Tue;06:41:50;17:32:46;lut-12;
29 Wed;06:39:46;17:34:28;lut-12;
01 Thu;06:37:41;17:36:11;mar-12;
02 Fri;06:35:35;17:37:53;mar-12;
03 Sat;06:33:28;17:39:34;mar-12;
04 Sun;06:31:21;17:41:16;mar-12;
05 Mon;06:29:13;17:42:57;mar-12;
06 Tue;06:27:05;17:44:38;mar-12;
07 Wed;06:24:56;17:46:18;mar-12;
08 Thu;06:22:46;17:47:59;mar-12;
09 Fri;06:20:36;17:49:39;mar-12;
10 Sat;06:18:26;17:51:18;mar-12;
11 Sun;06:16:15;17:52:58;mar-12;
12 Mon;06:14:04;17:54:37;mar-12;
13 Tue;06:11:53;17:56:17;mar-12;
14 Wed;06:09:41;17:57:55;mar-12;
15 Thu;06:07:29;17:59:34;mar-12;
16 Fri;06:05:17;18:01:13;mar-12;
17 Sat;06:03:04;18:02:51;mar-12;
18 Sun;06:00:51;18:04:29;mar-12;
19 Mon;05:58:38;18:06:07;mar-12;
20 Tue;05:56:25;18:07:45;mar-12;
21 Wed;05:54:12;18:09:23;mar-12;
22 Thu;05:51:59;18:11:00;mar-12;
23 Fri;05:49:46;18:12:38;mar-12;
24 Sat;05:47:33;18:14:15;mar-12;
25 Sun;05:45:20;18:15:52;mar-12;
26 Mon;05:43:06;18:17:29;mar-12;
27 Tue;05:40:53;18:19:06;mar-12;
28 Wed;05:38:40;18:20:43;mar-12;
29 Thu;05:36:28;18:22:20;mar-12;
30 Fri;05:34:15;18:23:57;mar-12;
31 Sat;05:32:03;18:25:34;mar-12;
01 Sun;05:29:51;18:27:10;kwi-12;
02 Mon;05:27:39;18:28:47;kwi-12;
03 Tue;05:25:27;18:30:24;kwi-12;
04 Wed;05:23:16;18:32:00;kwi-12;
05 Thu;05:21:05;18:33:37;kwi-12;
06 Fri;05:18:55;18:35:13;kwi-12;
07 Sat;05:16:45;18:36:50;kwi-12;
08 Sun;05:14:35;18:38:26;kwi-12;
09 Mon;05:12:26;18:40:03;kwi-12;
10 Tue;05:10:17;18:41:40;kwi-12;
11 Wed;05:08:09;18:43:16;kwi-12;
12 Thu;05:06:02;18:44:53;kwi-12;
13 Fri;05:03:55;18:46:29;kwi-12;
14 Sat;05:01:49;18:48:06;kwi-12;
15 Sun;04:59:44;18:49:42;kwi-12;
16 Mon;04:57:39;18:51:18;kwi-12;
17 Tue;04:55:35;18:52:55;kwi-12;
18 Wed;04:53:32;18:54:31;kwi-12;
19 Thu;04:51:30;18:56:08;kwi-12;
20 Fri;04:49:29;18:57:44;kwi-12;
21 Sat;04:47:28;18:59:20;kwi-12;
22 Sun;04:45:29;19:00:56;kwi-12;
23 Mon;04:43:30;19:02:32;kwi-12;
24 Tue;04:41:33;19:04:08;kwi-12;
25 Wed;04:39:36;19:05:44;kwi-12;
26 Thu;04:37:41;19:07:19;kwi-12;
27 Fri;04:35:47;19:08:55;kwi-12;
28 Sat;04:33:54;19:10:30;kwi-12;
29 Sun;04:32:02;19:12:05;kwi-12;
30 Mon;04:30:12;19:13:40;kwi-12;
01 Tue;04:28:23;19:15:14;maj-12;
02 Wed;04:26:35;19:16:48;maj-12;
03 Thu;04:24:48;19:18:22;maj-12;
04 Fri;04:23:04;19:19:56;maj-12;
05 Sat;04:21:20;19:21:29;maj-12;
06 Sun;04:19:38;19:23:01;maj-12;
07 Mon;04:17:58;19:24:33;maj-12;
08 Tue;04:16:19;19:26:05;maj-12;
09 Wed;04:14:42;19:27:36;maj-12;
10 Thu;04:13:07;19:29:06;maj-12;
11 Fri;04:11:34;19:30:36;maj-12;
12 Sat;04:10:02;19:32:05;maj-12;
13 Sun;04:08:32;19:33:34;maj-12;
14 Mon;04:07:04;19:35:01;maj-12;
15 Tue;04:05:38;19:36:28;maj-12;
16 Wed;04:04:14;19:37:53;maj-12;
17 Thu;04:02:52;19:39:18;maj-12;
18 Fri;04:01:33;19:40:42;maj-12;
19 Sat;04:00:15;19:42:04;maj-12;
20 Sun;03:58:59;19:43:26;maj-12;
21 Mon;03:57:46;19:44:46;maj-12;
22 Tue;03:56:35;19:46:05;maj-12;
23 Wed;03:55:27;19:47:22;maj-12;
24 Thu;03:54:20;19:48:39;maj-12;
25 Fri;03:53:17;19:49:53;maj-12;
26 Sat;03:52:15;19:51:07;maj-12;
27 Sun;03:51:17;19:52:18;maj-12;
28 Mon;03:50:20;19:53:28;maj-12;
29 Tue;03:49:27;19:54:36;maj-12;
30 Wed;03:48:35;19:55:43;maj-12;
31 Thu;03:47:47;19:56:47;maj-12;
01 Fri;03:47:01;19:57:50;cze-12;
02 Sat;03:46:18;19:58:50;cze-12;
03 Sun;03:45:38;19:59:49;cze-12;
04 Mon;03:45:01;20:00:45;cze-12;
05 Tue;03:44:26;20:01:39;cze-12;
06 Wed;03:43:54;20:02:31;cze-12;
07 Thu;03:43:25;20:03:21;cze-12;
08 Fri;03:42:59;20:04:08;cze-12;
09 Sat;03:42:36;20:04:53;cze-12;
10 Sun;03:42:16;20:05:35;cze-12;
11 Mon;03:41:59;20:06:15;cze-12;
12 Tue;03:41:45;20:06:52;cze-12;
13 Wed;03:41:33;20:07:27;cze-12;
14 Thu;03:41:25;20:07:59;cze-12;
15 Fri;03:41:19;20:08:28;cze-12;
16 Sat;03:41:17;20:08:54;cze-12;
17 Sun;03:41:17;20:09:18;cze-12;
18 Mon;03:41:21;20:09:39;cze-12;
19 Tue;03:41:27;20:09:57;cze-12;
20 Wed;03:41:36;20:10:12;cze-12;
21 Thu;03:41:48;20:10:24;cze-12;
22 Fri;03:42:03;20:10:33;cze-12;
23 Sat;03:42:21;20:10:39;cze-12;
24 Sun;03:42:41;20:10:42;cze-12;
25 Mon;03:43:05;20:10:42;cze-12;
26 Tue;03:43:31;20:10:40;cze-12;
27 Wed;03:44:00;20:10:34;cze-12;
28 Thu;03:44:31;20:10:25;cze-12;
29 Fri;03:45:05;20:10:13;cze-12;
30 Sat;03:45:41;20:09:59;cze-12;
01 Sun;03:46:21;20:09:41;lip-12;
02 Mon;03:47:02;20:09:20;lip-12;
03 Tue;03:47:46;20:08:56;lip-12;
04 Wed;03:48:32;20:08:30;lip-12;
05 Thu;03:49:21;20:08:00;lip-12;
06 Fri;03:50:12;20:07:28;lip-12;
07 Sat;03:51:04;20:06:53;lip-12;
08 Sun;03:52:00;20:06:14;lip-12;
09 Mon;03:52:57;20:05:33;lip-12;
10 Tue;03:53:56;20:04:50;lip-12;
11 Wed;03:54:57;20:04:03;lip-12;
12 Thu;03:56:00;20:03:14;lip-12;
13 Fri;03:57:04;20:02:22;lip-12;
14 Sat;03:58:10;20:01:27;lip-12;
15 Sun;03:59:18;20:00:30;lip-12;
16 Mon;04:00:28;19:59:31;lip-12;
17 Tue;04:01:39;19:58:28;lip-12;
18 Wed;04:02:52;19:57:24;lip-12;
19 Thu;04:04:05;19:56:16;lip-12;
20 Fri;04:05:21;19:55:07;lip-12;
21 Sat;04:06:37;19:53:55;lip-12;
22 Sun;04:07:55;19:52:41;lip-12;
23 Mon;04:09:14;19:51:24;lip-12;
24 Tue;04:10:34;19:50:06;lip-12;
25 Wed;04:11:54;19:48:45;lip-12;
26 Thu;04:13:16;19:47:22;lip-12;
27 Fri;04:14:39;19:45:57;lip-12;
28 Sat;04:16:03;19:44:30;lip-12;
29 Sun;04:17:27;19:43:02;lip-12;
30 Mon;04:18:52;19:41:31;lip-12;
31 Tue;04:20:18;19:39:58;lip-12;
01 Wed;04:21:44;19:38:24;sie-12;
02 Thu;04:23:11;19:36:47;sie-12;
03 Fri;04:24:39;19:35:09;sie-12;
04 Sat;04:26:07;19:33:30;sie-12;
05 Sun;04:27:36;19:31:48;sie-12;
06 Mon;04:29:05;19:30:05;sie-12;
07 Tue;04:30:34;19:28:21;sie-12;
08 Wed;04:32:04;19:26:35;sie-12;
09 Thu;04:33:34;19:24:48;sie-12;
10 Fri;04:35:04;19:22:59;sie-12;
11 Sat;04:36:35;19:21:09;sie-12;
12 Sun;04:38:06;19:19:17;sie-12;
13 Mon;04:39:37;19:17:25;sie-12;
14 Tue;04:41:08;19:15:31;sie-12;
15 Wed;04:42:39;19:13:35;sie-12;
16 Thu;04:44:11;19:11:39;sie-12;
17 Fri;04:45:42;19:09:42;sie-12;
18 Sat;04:47:14;19:07:43;sie-12;
19 Sun;04:48:46;19:05:43;sie-12;
20 Mon;04:50:17;19:03:43;sie-12;
21 Tue;04:51:49;19:01:41;sie-12;
22 Wed;04:53:21;18:59:39;sie-12;
23 Thu;04:54:53;18:57:36;sie-12;
24 Fri;04:56:25;18:55:31;sie-12;
25 Sat;04:57:57;18:53:26;sie-12;
26 Sun;04:59:29;18:51:21;sie-12;
27 Mon;05:01:01;18:49:14;sie-12;
28 Tue;05:02:33;18:47:07;sie-12;
29 Wed;05:04:04;18:44:59;sie-12;
30 Thu;05:05:36;18:42:50;sie-12;
31 Fri;05:07:08;18:40:41;sie-12;
01 Sat;05:08:40;18:38:31;wrz-12;
02 Sun;05:10:12;18:36:21;wrz-12;
03 Mon;05:11:44;18:34:10;wrz-12;
04 Tue;05:13:15;18:31:59;wrz-12;
05 Wed;05:14:47;18:29:47;wrz-12;
06 Thu;05:16:19;18:27:35;wrz-12;
07 Fri;05:17:50;18:25:23;wrz-12;
08 Sat;05:19:22;18:23:10;wrz-12;
09 Sun;05:20:54;18:20:57;wrz-12;
10 Mon;05:22:26;18:18:43;wrz-12;
11 Tue;05:23:57;18:16:29;wrz-12;
12 Wed;05:25:29;18:14:15;wrz-12;
13 Thu;05:27:01;18:12:01;wrz-12;
14 Fri;05:28:33;18:09:47;wrz-12;
15 Sat;05:30:05;18:07:32;wrz-12;
16 Sun;05:31:37;18:05:18;wrz-12;
17 Mon;05:33:09;18:03:03;wrz-12;
18 Tue;05:34:41;18:00:48;wrz-12;
19 Wed;05:36:13;17:58:34;wrz-12;
20 Thu;05:37:46;17:56:19;wrz-12;
21 Fri;05:39:18;17:54:04;wrz-12;
22 Sat;05:40:51;17:51:50;wrz-12;
23 Sun;05:42:24;17:49:35;wrz-12;
24 Mon;05:43:57;17:47:21;wrz-12;
25 Tue;05:45:30;17:45:06;wrz-12;
26 Wed;05:47:03;17:42:52;wrz-12;
27 Thu;05:48:37;17:40:38;wrz-12;
28 Fri;05:50:10;17:38:25;wrz-12;
29 Sat;05:51:44;17:36:11;wrz-12;
30 Sun;05:53:18;17:33:58;wrz-12;
01 Mon;05:54:53;17:31:46;paü-12;
02 Tue;05:56:27;17:29:33;paü-12;
03 Wed;05:58:02;17:27:21;paü-12;
04 Thu;05:59:37;17:25:10;paü-12;
05 Fri;06:01:12;17:22:59;paü-12;
06 Sat;06:02:48;17:20:48;paü-12;
07 Sun;06:04:24;17:18:38;paü-12;
08 Mon;06:06:00;17:16:29;paü-12;
09 Tue;06:07:36;17:14:20;paü-12;
10 Wed;06:09:13;17:12:12;paü-12;
11 Thu;06:10:50;17:10:04;paü-12;
12 Fri;06:12:28;17:07:57;paü-12;
13 Sat;06:14:05;17:05:51;paü-12;
14 Sun;06:15:43;17:03:46;paü-12;
15 Mon;06:17:21;17:01:41;paü-12;
16 Tue;06:19:00;16:59:37;paü-12;
17 Wed;06:20:39;16:57:34;paü-12;
18 Thu;06:22:18;16:55:32;paü-12;
19 Fri;06:23:57;16:53:32;paü-12;
20 Sat;06:25:37;16:51:32;paü-12;
21 Sun;06:27:17;16:49:33;paü-12;
22 Mon;06:28:58;16:47:35;paü-12;
23 Tue;06:30:38;16:45:38;paü-12;
24 Wed;06:32:19;16:43:42;paü-12;
25 Thu;06:34:00;16:41:48;paü-12;
26 Fri;06:35:41;16:39:55;paü-12;
27 Sat;06:37:23;16:38:03;paü-12;
28 Sun;06:39:04;16:36:12;paü-12;
29 Mon;06:40:46;16:34:23;paü-12;
30 Tue;06:42:28;16:32:35;paü-12;
31 Wed;06:44:10;16:30:49;paü-12;
01 Thu;06:45:52;16:29:04;lis-12;
02 Fri;06:47:35;16:27:21;lis-12;
03 Sat;06:49:17;16:25:39;lis-12;
04 Sun;06:50:59;16:23:59;lis-12;
05 Mon;06:52:41;16:22:21;lis-12;
06 Tue;06:54:23;16:20:45;lis-12;
07 Wed;06:56:05;16:19:10;lis-12;
08 Thu;06:57:47;16:17:37;lis-12;
09 Fri;06:59:29;16:16:06;lis-12;
10 Sat;07:01:10;16:14:37;lis-12;
11 Sun;07:02:51;16:13:10;lis-12;
12 Mon;07:04:32;16:11:45;lis-12;
13 Tue;07:06:12;16:10:23;lis-12;
14 Wed;07:07:52;16:09:02;lis-12;
15 Thu;07:09:31;16:07:44;lis-12;
16 Fri;07:11:10;16:06:28;lis-12;
17 Sat;07:12:48;16:05:14;lis-12;
18 Sun;07:14:25;16:04:02;lis-12;
19 Mon;07:16:02;16:02:53;lis-12;
20 Tue;07:17:38;16:01:47;lis-12;
21 Wed;07:19:13;16:00:43;lis-12;
22 Thu;07:20:47;15:59:42;lis-12;
23 Fri;07:22:19;15:58:43;lis-12;
24 Sat;07:23:51;15:57:47;lis-12;
25 Sun;07:25:21;15:56:54;lis-12;
26 Mon;07:26:51;15:56:04;lis-12;
27 Tue;07:28:18;15:55:16;lis-12;
28 Wed;07:29:45;15:54:31;lis-12;
29 Thu;07:31:09;15:53:50;lis-12;
30 Fri;07:32:33;15:53:11;lis-12;
01 Sat;07:33:54;15:52:35;gru-12;
02 Sun;07:35:14;15:52:02;gru-12;
03 Mon;07:36:32;15:51:33;gru-12;
04 Tue;07:37:48;15:51:06;gru-12;
05 Wed;07:39:01;15:50:43;gru-12;
06 Thu;07:40:13;15:50:23;gru-12;
07 Fri;07:41:23;15:50:06;gru-12;
08 Sat;07:42:30;15:49:52;gru-12;
09 Sun;07:43:35;15:49:42;gru-12;
10 Mon;07:44:38;15:49:35;gru-12;
11 Tue;07:45:38;15:49:31;gru-12;
12 Wed;07:46:36;15:49:30;gru-12;
13 Thu;07:47:30;15:49:33;gru-12;
14 Fri;07:48:23;15:49:39;gru-12;
15 Sat;07:49:12;15:49:48;gru-12;
16 Sun;07:49:59;15:50:01;gru-12;
17 Mon;07:50:43;15:50:16;gru-12;
18 Tue;07:51:24;15:50:36;gru-12;
19 Wed;07:52:02;15:50:58;gru-12;
20 Thu;07:52:37;15:51:23;gru-12;
21 Fri;07:53:09;15:51:52;gru-12;
22 Sat;07:53:38;15:52:24;gru-12;
23 Sun;07:54:03;15:52:59;gru-12;
24 Mon;07:54:26;15:53:37;gru-12;
25 Tue;07:54:45;15:54:18;gru-12;
26 Wed;07:55:02;15:55:03;gru-12;
27 Thu;07:55:15;15:55:50;gru-12;
28 Fri;07:55:24;15:56:40;gru-12;
29 Sat;07:55:31;15:57:32;gru-12;
30 Sun;07:55:34;15:58:28;gru-12;
31 Mon;07:55:34;15:59:26;gru-12;
